hgdp_id	Gender	population	Geographic origin	Region
HGDP00614	F	Bedouin	Israel (Negev)	Middle Est
HGDP00615	F	Bedouin	Israel (Negev)	Middle Est
HGDP00616	M	Bedouin	Israel (Negev)	Middle Est
HGDP00618	M	Bedouin	Israel (Negev)	Middle Est
HGDP00619	M	Bedouin	Israel (Negev)	Middle Est
HGDP00620	M	Bedouin	Israel (Negev)	Middle Est
HGDP00622	M	Bedouin	Israel (Negev)	Middle Est
HGDP00623	M	Bedouin	Israel (Negev)	Middle Est
HGDP00624	M	Bedouin	Israel (Negev)	Middle Est
HGDP00625	M	Bedouin	Israel (Negev)	Middle Est
HGDP00626	M	Bedouin	Israel (Negev)	Middle Est
HGDP00627	M	Bedouin	Israel (Negev)	Middle Est
HGDP00628	M	Bedouin	Israel (Negev)	Middle Est
HGDP00629	M	Bedouin	Israel (Negev)	Middle Est
HGDP00630	M	Bedouin	Israel (Negev)	Middle Est
HGDP00631	M	Bedouin	Israel (Negev)	Middle Est
HGDP00632	F	Bedouin	Israel (Negev)	Middle Est
HGDP00634	F	Bedouin	Israel (Negev)	Middle Est
HGDP00635	F	Bedouin	Israel (Negev)	Middle Est
HGDP00636	F	Bedouin	Israel (Negev)	Middle Est
HGDP00637	F	Bedouin	Israel (Negev)	Middle Est
HGDP00638	F	Bedouin	Israel (Negev)	Middle Est
HGDP00639	M	Bedouin	Israel (Negev)	Middle Est
HGDP00640	M	Bedouin	Israel (Negev)	Middle Est
HGDP00641	M	Bedouin	Israel (Negev)	Middle Est
HGDP00642	M	Bedouin	Israel (Negev)	Middle Est
HGDP00643	F	Bedouin	Israel (Negev)	Middle Est
HGDP00644	M	Bedouin	Israel (Negev)	Middle Est
HGDP00645	M	Bedouin	Israel (Negev)	Middle Est
HGDP00646	F	Bedouin	Israel (Negev)	Middle Est
HGDP00647	F	Bedouin	Israel (Negev)	Middle Est
HGDP00648	M	Bedouin	Israel (Negev)	Middle Est
HGDP00649	F	Bedouin	Israel (Negev)	Middle Est
HGDP00650	F	Bedouin	Israel (Negev)	Middle Est
HGDP00651	F	Bedouin	Israel (Negev)	Middle Est
HGDP00653	F	Bedouin	Israel (Negev)	Middle Est
HGDP00654	M	Bedouin	Israel (Negev)	Middle Est
HGDP00665	M	Sardinian	Italy	Europe
HGDP00666	M	Sardinian	Italy	Europe
HGDP00667	F	Sardinian	Italy	Europe
HGDP00668	M	Sardinian	Italy	Europe
HGDP00669	F	Sardinian	Italy	Europe
HGDP00670	M	Sardinian	Italy	Europe
HGDP00671	M	Sardinian	Italy	Europe
HGDP00672	F	Sardinian	Italy	Europe
HGDP00673	F	Sardinian	Italy	Europe
HGDP00674	M	Sardinian	Italy	Europe
HGDP00675	M	Palestinian	Israel (Central)	Middle Est
HGDP00676	M	Palestinian	Israel (Central)	Middle Est
HGDP00677	M	Palestinian	Israel (Central)	Middle Est
HGDP00678	M	Palestinian	Israel (Central)	Middle Est
HGDP00679	F	Palestinian	Israel (Central)	Middle Est
HGDP00680	F	Palestinian	Israel (Central)	Middle Est
HGDP00682	F	Palestinian	Israel (Central)	Middle Est
HGDP00683	F	Palestinian	Israel (Central)	Middle Est
HGDP00684	F	Palestinian	Israel (Central)	Middle Est
HGDP00685	F	Palestinian	Israel (Central)	Middle Est
HGDP00686	F	Palestinian	Israel (Central)	Middle Est
HGDP00687	F	Palestinian	Israel (Central)	Middle Est
HGDP00688	F	Palestinian	Israel (Central)	Middle Est
HGDP00689	F	Palestinian	Israel (Central)	Middle Est
HGDP00690	F	Palestinian	Israel (Central)	Middle Est
HGDP00691	F	Palestinian	Israel (Central)	Middle Est
HGDP00692	F	Palestinian	Israel (Central)	Middle Est
HGDP00693	F	Palestinian	Israel (Central)	Middle Est
HGDP00694	F	Palestinian	Israel (Central)	Middle Est
HGDP00696	F	Palestinian	Israel (Central)	Middle Est
HGDP00697	F	Palestinian	Israel (Central)	Middle Est
HGDP00698	F	Palestinian	Israel (Central)	Middle Est
HGDP00699	F	Palestinian	Israel (Central)	Middle Est
HGDP00700	F	Palestinian	Israel (Central)	Middle Est
HGDP00701	F	Bedouin	Israel (Negev)	Middle Est
HGDP00722	M	Palestinian	Israel (Central)	Middle Est
HGDP00723	M	Palestinian	Israel (Central)	Middle Est
HGDP00724	M	Palestinian	Israel (Central)	Middle Est
HGDP00725	M	Palestinian	Israel (Central)	Middle Est
HGDP00726	M	Palestinian	Israel (Central)	Middle Est
HGDP00727	M	Palestinian	Israel (Central)	Middle Est
HGDP00729	M	Palestinian	Israel (Central)	Middle Est
HGDP00730	M	Palestinian	Israel (Central)	Middle Est
HGDP00731	M	Palestinian	Israel (Central)	Middle Est
HGDP00732	M	Palestinian	Israel (Central)	Middle Est
HGDP00733	M	Palestinian	Israel (Central)	Middle Est
HGDP00734	M	Palestinian	Israel (Central)	Middle Est
HGDP00735	F	Palestinian	Israel (Central)	Middle Est
HGDP00736	F	Palestinian	Israel (Central)	Middle Est
HGDP00737	F	Palestinian	Israel (Central)	Middle Est
HGDP00738	F	Palestinian	Israel (Central)	Middle Est
